,url,program,type,source title
0,https://en.wikipedia.org/wiki/Gun_control,todo,todo,todo
1,https://www.wsj.com/articles/democrats-plan-to-pursue-most-aggressive-gun-control-legislation-in-decades-1541791440,todo,todo,todo
2,https://www.cnbc.com/2018/11/09/gun-control-is-winning-issue-in-midterms-as-advocates-gain-in-house-defy-nra.html,todo,todo,todo
3,https://gun-control.procon.org/,todo,todo,todo
4,https://www.nytimes.com/topic/subject/guns-and-gun-control,todo,todo,todo
5,https://www.bbc.com/news/av/world-us-canada-46154767/thousand-oaks-shooting-gun-control-shooting-plea-from-bereaved-mum,todo,todo,todo
6,https://www.nytimes.com/interactive/2015/10/07/us/gun-control-explained.html,todo,todo,todo
7,https://www.newyorker.com/magazine/2018/03/12/the-gun-control-debate-after-parkland,todo,todo,todo
8,https://www.cfr.org/backgrounder/us-gun-policy-global-comparisons,todo,todo,todo
